Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
222,-1388446.0,775335.7218958334,3149104.0,1164.1789279112754,186106,2705,2250,0,750
223,-1659630.5,838743.8843541667,3715325.0,1307.292399718508,198032,2842,2193,0,807
224,-1292577.5,910611.520375,2958347.0,1092.8507572958995,186596,2707,1965,0,1035
225,-1254842.0,887860.1106979167,2900612.0,1034.4550641940086,195464,2804,2157,0,843
226,-1362947.0,857191.5445416666,3100432.0,1079.1618517229376,187269,2873,2276,0,724
227,-1282550.5,732313.1981770833,2946053.0,1012.0415664720027,190476,2911,2272,0,728
228,-1450405.5,757016.6992916666,3288541.0,1172.3853832442069,193865,2805,2080,0,920
229,-1298509.0,778260.9979583333,2977744.0,1063.1003213138165,190363,2801,2248,0,752
230,-5437835.5,1184561.2750625,11172963.0,5005.807795698925,148646,2232,2208,0,792
231,-4092439.5,1452339.5715625,8463343.0,4193.926164519326,139232,2018,2421,0,579
232,-4282356.0,1628216.1707916667,8860408.0,3843.9947939262474,147848,2305,2101,0,899
233,-2824876.5,1558056.8274270834,5990641.0,2257.2121326299925,170444,2654,2203,0,797
234,-1427594.5,1154101.6393333334,3221891.0,1188.4511250461085,183351,2711,2123,0,877
235,-1737687.0,1110469.7147916667,3845676.0,1414.3714600956234,185151,2719,2207,0,793
236,-1513294.5,981804.9586145834,3404211.0,1214.055278174037,188811,2804,2160,0,840
237,-1304888.0,911666.38590625,2987150.0,1075.287976961843,188687,2778,2069,0,931
238,-1350450.0,872398.1715416666,3089140.0,1097.385435168739,194120,2815,2259,0,741
239,-1458632.5,793946.5194583334,3290805.0,1199.7101713452425,186770,2743,2234,0,766
240,-1705436.5,906987.26728125,3812207.0,1350.8883770375621,200667,2822,2215,0,785
241,-1288311.0,985243.7286458333,2948992.0,1073.5318529304695,186185,2747,2209,0,791
242,-1508838.5,981392.2982604167,3383935.0,1268.3414542728635,183129,2668,2069,0,931
243,-1440702.5,921929.2467708334,3243427.0,1199.4922337278106,181011,2704,1945,0,1055
244,-1326588.5,823888.6031041667,3048165.0,1093.708288482239,197494,2787,1967,0,1033
245,-1237593.5,832218.5119375,2853621.0,1003.382911392405,189217,2844,2114,0,886
246,-1428515.0,935135.4652395833,3261698.0,1166.5586552217453,202334,2796,2154,0,846
247,-1201219.5,1006029.4190729166,2786397.0,1001.5805176132279,191979,2782,2167,0,833
248,-1097220.5,940516.2660729167,2572927.0,920.8758052970651,189243,2794,2335,0,665
249,-1307340.5,893477.5396041666,3001051.0,1061.9430290162775,193185,2826,2182,0,818
250,-1395776.5,867792.3803333333,3195025.0,1131.382790368272,201736,2824,1951,0,1049
